epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0197,0.58728,1.98791,1.20879,0.97715,0.33694,0.6329,0.53605,0.64669,2.27572,1.04495,0.000539324,0.000539324,0.000539324
2,27.3756,0.61105,1.30385,1.21837,0.70558,0.78142,0.69942,0.51221,0.94279,1.79995,1.34712,0.00108144,0.00108144,0.00108144
3,36.9394,0.59668,1.14081,1.18957,0.67668,0.74583,0.74915,0.48761,1.31142,2.21674,1.82646,0.0016098,0.0016098,0.0016098
4,47.1082,0.5939,1.03876,1.1836,0.79193,0.65684,0.77924,0.54741,0.97419,1.75799,1.40256,0.00160511,0.00160511,0.00160511
5,57.2421,0.58063,0.96462,1.18343,0.66262,0.74615,0.72834,0.58841,0.65899,1.88331,0.97065,0.00158448,0.00158448,0.00158448
6,67.3606,0.6116,0.98335,1.19672,0.88472,0.87585,0.93024,0.78986,0.57561,1.014,0.8485,0.00156385,0.00156385,0.00156385
7,76.7035,0.5761,0.86341,1.15739,0.69606,0.60426,0.74532,0.61506,0.66122,1.81813,0.95476,0.00154323,0.00154323,0.00154323
8,86.7589,0.56975,0.85375,1.1612,0.66281,0.65462,0.73893,0.59747,0.59783,1.62049,0.90954,0.0015226,0.0015226,0.0015226
9,96.9057,0.54555,0.77841,1.14421,0.8664,0.96309,0.98785,0.82332,0.60268,0.77386,0.87643,0.00150197,0.00150197,0.00150197
10,107.266,0.52033,0.70856,1.14033,0.79937,0.75831,0.92631,0.8122,0.62233,1.04456,0.94056,0.00148134,0.00148134,0.00148134
11,117.533,0.53247,0.70812,1.13095,0.8661,0.8287,0.87371,0.68726,0.86521,1.02785,1.15812,0.00146071,0.00146071,0.00146071
12,126.868,0.50072,0.68037,1.12156,0.92414,0.8141,0.92631,0.79889,0.61218,0.73569,0.93021,0.00144008,0.00144008,0.00144008
13,137.168,0.49534,0.66262,1.12697,0.87247,0.86444,0.93024,0.76426,0.66264,0.74871,0.96899,0.00141945,0.00141945,0.00141945
14,147.354,0.49066,0.60972,1.10519,0.85763,0.90114,0.9734,0.86179,0.52349,0.67785,0.80842,0.00139882,0.00139882,0.00139882
15,157.649,0.47455,0.61315,1.09987,0.88985,0.93103,0.95851,0.84347,0.52936,0.64438,0.82362,0.00137819,0.00137819,0.00137819
16,167.052,0.48167,0.63685,1.11091,0.64498,0.77754,0.86848,0.7221,0.63298,1.13012,0.93086,0.00135756,0.00135756,0.00135756
